"Id","Data do Sorteio","Coluna 1","Coluna 2","Coluna 3","Coluna 4","Coluna 5","Coluna 6"
"","","","","","","",""
"252","12/30/2000","4","17","26","32","51","54"
"","","","","","","",""
"253","1/6/2001","11","12","24","37","44","56"
"","","","","","","",""
"254","1/13/2001","1","4","21","22","30","56"
"","","","","","","",""
"255","1/20/2001","16","19","20","32","44","55"
"","","","","","","",""
"256","1/27/2001","2","21","26","32","34","52"
"","","","","","","",""
"257","2/3/2001","1","4","5","19","28","34"
"","","","","","","",""
"258","2/10/2001","7","12","50","54","55","60"
"","","","","","","",""
"259","2/17/2001","13","15","20","33","43","58"
"","","","","","","",""
"260","2/24/2001","4","6","33","43","59","60"
"","","","","","","",""
"261","3/3/2001","5","16","20","30","54","56"
"","","","","","","",""
"262","3/10/2001","11","20","48","53","58","60"
"","","","","","","",""
"263","3/17/2001","8","9","26","43","50","53"
"","","","","","","",""
"264","3/24/2001","1","5","13","25","31","33"
"","","","","","","",""
"265","3/31/2001","7","16","34","41","50","53"
"","","","","","","",""
"266","4/7/2001","2","23","38","46","48","54"
"","","","","","","",""
"267","4/14/2001","1","8","45","46","55","58"
"","","","","","","",""
"268","4/21/2001","5","6","10","21","33","47"
"","","","","","","",""
"269","4/28/2001","17","18","19","25","49","52"
"","","","","","","",""
"270","5/5/2001","5","9","27","35","40","45"
"","","","","","","",""
"271","5/12/2001","14","24","26","29","31","54"
"","","","","","","",""
"272","5/19/2001","9","10","24","36","56","58"
"","","","","","","",""
"273","5/26/2001","10","17","23","27","47","52"
"","","","","","","",""
"274","6/2/2001","11","13","18","26","39","47"
"","","","","","","",""
"275","6/9/2001","16","19","30","37","38","48"
"","","","","","","",""
"276","6/16/2001","22","39","45","53","57","59"
"","","","","","","",""
"277","6/23/2001","4","26","38","40","52","56"
"","","","","","","",""
"278","6/30/2001","10","15","18","22","31","55"
"","","","","","","",""
"279","7/7/2001","4","23","31","47","58","59"
"","","","","","","",""
"280","7/14/2001","5","16","20","25","30","58"
"","","","","","","",""
"281","7/21/2001","5","11","31","38","47","53"
"","","","","","","",""
"282","7/28/2001","9","14","23","24","33","36"
"","","","","","","",""
"283","8/1/2001","25","28","34","42","48","54"
"","","","","","","",""
"284","8/4/2001","7","8","14","30","32","36"
"","","","","","","",""
"285","8/8/2001","12","32","37","41","50","56"
"","","","","","","",""
"286","8/11/2001","29","35","37","44","47","56"
"","","","","","","",""
"287","8/15/2001","3","13","25","33","47","60"
"","","","","","","",""
"288","8/18/2001","6","9","11","17","18","50"
"","","","","","","",""
"289","8/22/2001","6","7","20","25","30","36"
"","","","","","","",""
"290","8/25/2001","7","25","26","30","40","57"
"","","","","","","",""
"291","8/29/2001","5","16","17","18","22","41"
"","","","","","","",""
"292","9/1/2001","13","23","24","34","45","53"
"","","","","","","",""
"293","9/5/2001","5","6","7","12","28","35"
"","","","","","","",""
"294","9/8/2001","22","25","28","41","45","57"
"","","","","","","",""
"295","9/12/2001","7","12","24","31","44","50"
"","","","","","","",""
"296","9/15/2001","3","20","42","46","51","52"
"","","","","","","",""
"297","9/19/2001","1","20","28","33","36","41"
"","","","","","","",""
"298","9/22/2001","5","22","23","24","34","60"
"","","","","","","",""
"299","9/26/2001","2","5","7","33","49","53"
"","","","","","","",""
"300","9/29/2001","24","27","28","38","41","57"
"","","","","","","",""
"301","10/3/2001","9","26","48","49","57","58"
"","","","","","","",""
"302","10/6/2001","12","25","30","40","41","60"
"","","","","","","",""
"303","10/10/2001","7","13","17","30","37","47"
"","","","","","","",""
"304","10/13/2001","7","11","34","41","42","59"
"","","","","","","",""
"305","10/17/2001","5","11","27","38","53","60"
"","","","","","","",""
"306","10/20/2001","19","30","41","47","56","57"
"","","","","","","",""
"307","10/24/2001","13","16","17","26","41","44"
"","","","","","","",""
"308","10/27/2001","4","11","25","29","39","55"
"","","","","","","",""
"309","10/31/2001","4","11","25","39","50","55"
"","","","","","","",""
"310","11/3/2001","2","14","28","29","31","32"
"","","","","","","",""
"311","11/7/2001","22","24","30","32","38","41"
"","","","","","","",""
"312","11/10/2001","14","23","30","41","47","50"
"","","","","","","",""
"313","11/14/2001","14","16","24","37","38","53"
"","","","","","","",""
"314","11/17/2001","5","32","34","37","40","58"
"","","","","","","",""
"315","11/21/2001","12","21","22","28","43","50"
"","","","","","","",""
"316","11/24/2001","6","24","28","43","51","56"
"","","","","","","",""
"317","11/28/2001","16","20","27","30","35","48"
"","","","","","","",""
"318","12/1/2001","3","19","20","31","40","53"
"","","","","","","",""
"319","12/5/2001","12","16","17","19","23","48"
"","","","","","","",""
"320","12/8/2001","20","22","27","47","50","53"
"","","","","","","",""
"321","12/12/2001","4","11","31","32","48","49"
"","","","","","","",""
